vanilla-i18n-key,English,Français,Deutsch
nav.charter,Data reuse charter,Charte de réutilisation des données,Charta zur Wiederverwendung von Daten
form.ocrd,OCR-D Coordinated funding initiative for the further development of optical character recognition methods,OCR-D Initiative de soutien coordonnée pour le développement de procédés de reconnaissance optique de caractères,OCR-D Koordinierte Förderinitiative zur Weiterentwicklung von Verfahren der Optical Character Recognition
form.title.project,General information about the project,Informations générales sur le projet,Allgemeine Informationen über das Projekt
form.title.generate,Generate the <code>metadata.yml</code> file,Générer le fichier <code>METADATA.yml</code>,Erzeugen Sie die Datei <code>METADATA.yml</code>
form.title.ds,General information about the dataset,Informations générales sur le set de données,Allgemeine Informationen über den Datensatz
form.title.detail,Detailed information about the data,Informations détaillées sur les données,Detaillierte Informationen über die Daten
form.title.data,General information about the data,Informations générales sur les données,Allgemeine Informationen zu den Daten
form.steps.title,ToDo,Étapes,Was ist zu tun
form.step2.title,"Click on ""Get formatted metadata""","Cliquer sur ""Obtenir les métadonnées formatées""","Klicken Sie auf ""Formatierte Metadaten abrufen""."
form.step2.desc,And copy the output !,Et copier le résultat !,Und kopieren Sie die Ausgabe!
form.step1.title,Fill the form,Remplir le formulaire,Füllen Sie das Formular aus
form.step1.desc,"Follow the examples and note that you can always manually modify the output. This form only helps you structure the description and ensure that every item is documented.","Suivre les examples. Si nécessaire, modifier manuellement l'output : ce formulaire aide seulement à structurer la description et à s'assurer que toutes les rubriques sont documentées.","Folgen Sie den Beispielen und beachten Sie, dass Sie die Ausgabe jederzeit manuell ändern können. Dieses Formular dient lediglich dazu, die Beschreibung zu strukturieren und sicherzustellen, dass jedes Element dokumentiert ist."
form.play,Play or restart,Lancer la démo ou la redémarrer,Abspielen oder neu starten
form.input.src,Link to the source or a catalog description,Lien vers le catalogue ou la ressource,Link zur Quelle oder eine Katalogbeschreibung
form.input.reponame,Repository's title,Nom du dépôt,Titel des Repositorys
form.input.repolink,Link to repository,Lien vers le dépôt,Link zum Repositorium
form.input.quantity,Example: 200,Exemple: 200,Beispiel: 200
form.input.projectname,Project's name,Nom du projet,Name des Projekts
form.input.projectlink,Link to project's website (if applicable),Lien vers le site du projet (s'il existe),Link zur Website des Projekts (falls zutreffend)
form.input.guidelines,Transcription guidelines,Normes de transcription,Richtlinien für die Transkription
form.input.dateend,Example: 1899,Exemple: 1899,Beispiel: 1899
form.input.datebegin,Example: 1800,Exemple: 1800,Beispiel: 1800
form.input.cff,Link to a CITATION.cff file,Lien vers un fichier CITATION.cff,Link zur CITATION.cff-Datei
form.input.apa,APA Reference for a source,Référence en mode APA,APA-Referenz für eine Quelle
form.form.head,"Fields followed by a <span class=""required"">*</span> are the only ones required.","Les champs dont le nom est suivi d'un <span class=""required"">*</span> sont obligatoires.","Bereiche, die mit einem <span class=""required"">*</span> gekennzeichnet sind, sind erforderlich."
form.fields.scripts.label,Script,Système d'écriture,Schrift
form.fields.scripts.helper,"To ease data entry, default values are already selected. Just click on it to deselect the one you don't want.","Pour faciliter l'entrée de données, des valeurs par défaut sont sélectionnées. Cliquez dessus pour les désélectionner.","Um die Dateneingabe zu erleichtern, sind die Standardwerte bereits ausgewählt. Klicken Sie einfach darauf, um die Markierung aufzuheben, die Sie nicht wünschen."
form.fields.languages.label,Language(s),Langue(s),Sprache(n)
form.fields.languages.helper,"To ease data entry, default values are already selected. Just click on it to deselect the one you don't want.","Pour faciliter l'entrée de données, des valeurs par défaut sont sélectionnées. Cliquez dessus pour les désélectionner.","Um die Dateneingabe zu erleichtern, sind die Standardwerte bereits ausgewählt. Klicken Sie einfach darauf, um die Auswahl der nicht gewünschten Sprache aufzuheben."
form.field.year.start,Source Start-Year,Année de début des sources,Quelle Start-Jahr
form.field.year.info,"For centuries, please prefer the use of 1200 when a dataset starts in the 13th century and 1299 when it ends in the 13th century. Dates do not need to be precise.","Préférez, pour des données au siècle près, 1200 pour un début au 13e siècle et 1299 pour une fin au 13e siècle. Les dates n'ont pas besoin d'être précises, cela reste une indication","Für Jahrhunderte verwenden Sie bitte 1200, wenn ein Datensatz im 13. Jahrhundert beginnt und 1299, wenn er im 13. Jahrhundert endet. Die Daten müssen nicht genau sein."
form.field.year.end,Source End-Year,Année de fin des sources,Quelle End-Jahr
form.field.std_info,This is a non-exhaustive selection of license options.,Les licences sont ici proposées à titre indicatif.,Dies ist eine nicht vollständige Auswahl von Lizenzoptionen.
form.field.std,Format Standard,Format des données,Format Standard
form.field.src,Sources,Détails des sources transcrites,Quellen
form.field.script.type.select.print,"Print (e.g. books)","Imprimé (par exemple livres)","Gedruckt (z. B. Bücher)"
form.field.script.type.select.only-typed,Typed only,Imprimé/dactylographié uniquement,Nur getippt/Typoskript
form.field.script.type.select.only-manuscript,Manuscript only,Manuscrit uniquement,Nur Manuskript
form.field.script.type.select.mainly-typed,Mainly typed,Principalement imprimé/dactylographié,Hauptsächlich maschinengeschrieben
form.field.script.type.select.mainly-manuscript,Mainly manuscript,Principalement manuscrit,Hauptsächlich handschriftlich
form.field.script.type.select.evenly-mixed,Evenly typed and manuscript,Egale répartition manuscrit/dactylographié et imprimé,Gleichmäßig maschinengeschrieben und handschriftlich
form.field.script.type.select.all,All,Tous,Alle
form.field.script.type.label,Document type,Type d'écriture,Dokumenttyp
